Job title,Company,Deadline,Location
Senior Customer Success Specialist (Night Shift),SQUARE SIGNS ARMENIA,02 May 2024,Yerevan
Sales manager,S.A.V. GROUP LLC,30 April 2024,Yerevan
Computer Systems Specialist,Armenian Card CJSC,02 May 2024,Yerevan
UI/UX Designer for Fastexverse,SoftConstruct,02 May 2024,Yerevan
Հաշվետար,Digitain,02 May 2024,Yerevan
Financial Accounting Specialist,Digitain,02 May 2024,Yerevan
Laravel Developer,SoftConstruct,02 May 2024,Yerevan
"Senior Specialist,  Personal Lending division",Ameriabank CJSC,16 April 2024,Yerevan
Հաշվապահ,Paulaner,02 May 2024,Yerevan
Տեսահսկման մասնագետ,FastBank CJSC,14 April 2024,Yerevan
Executive Assistant / VBET,SoftConstruct,02 May 2024,Yerevan
Վաճառքի տնօրեն,Bacon Product LLC,02 May 2024,Arzni
Վաճառքի և սպասարկման մասնագետ ք․ Գյումրի,Ucom,02 May 2024,Gyumri
Business Analyst,Digitain,02 May 2024,Yerevan
Talent Acquisition Specialist,Digitain,02 May 2024,Yerevan
"Փոքր բիզնեսի վարկային մասնագետ, ք․Էջմիածին",VTB Bank (Armenia),02 May 2024,Vagharshapat
"Փոքր բիզնեսի վարկային մասնագետ, ք․Աբովյան",VTB Bank (Armenia),02 May 2024,Abovyan
"Փոքր բիզնեսի վարկային մասնագետ, ք․Երևան",VTB Bank (Armenia),02 May 2024,Yerevan
"Փոքր բիզնեսի վարկային մասնագետ, ք․Արտաշատ",VTB Bank (Armenia),02 May 2024,Artashat
outdoor gear salesperson,Camp International,02 May 2024,Yerevan
Molecular biologist - flow cytometry,BostonGene Technologies,30 April 2024,Yerevan
Clinical report coordinator,BostonGene Technologies,30 April 2024,Yerevan
Product manager,Shtigen Group,01 May 2024,Yerevan
Make-up artist,Imagine Live,30 April 2024,Yerevan
Technical Support Specialist,Imagine Live,30 April 2024,Yerevan
Team Manager,Imagine Live,30 April 2024,Yerevan
Turkish Speaking Game Presenter,Imagine Live,30 April 2024,Yerevan
Russian Speaking Game Presenter,Imagine Live,30 April 2024,Yerevan
Game Presenter,Imagine Live,01 May 2024,Yerevan
Ukrainian Speaking Game Presenter,Imagine Live,30 April 2024,Yerevan
"Specialist, Financial Risks Management Division",Ameriabank CJSC,14 April 2024,Yerevan
Data Security Administrator,Ameriabank CJSC,30 April 2024,Yerevan
Վաճառքի և սպասարկման մասնագետ,Ucom,01 May 2024,Yerevan
"Operations Representative (Customer Support, Logistics Specialist)",Buymie,01 May 2024,Yerevan
Վճարահաշվարկային գործառնությունների բաժնի առաջատար մասնագետ,"""Ardshinbank"" CJSC",10 April 2024,Yerevan
Պասիվային գործառնությունների  բաժնի առաջատար մասնագետ,"""Ardshinbank"" CJSC",10 April 2024,Yerevan
Հեռավար սպասարկման բաժին - Սպասարկող մասնագետ,"""Ardshinbank"" CJSC",11 April 2024,Yerevan
Առաքիչ,"""Mehrabyan  and Sons"" LLC",01 May 2024,Yerevan
Մերչենդայզեր,"""Mehrabyan  and Sons"" LLC",01 May 2024,Yerevan
-Rates/Pricing Manager-,Dial Tel LLC,01 May 2024,Yerevan
